,Open,High,Low,Close,Adjusted Close,Volume,Dividend,Split Coefficient
2019-10-17,299.6800,300.2400,298.5150,299.21,299.2100,45844231,0.0000,1.0000
2019-10-16,298.3700,299.1600,297.9200,298.46,298.4600,43887480,0.0000,1.0000
2019-10-15,297.1000,299.7000,296.9700,298.88,298.8800,46754500,0.0000,1.0000
2019-10-14,295.9300,296.6700,295.5700,295.95,295.9500,40394800,0.0000,1.0000
2019-10-11,296.2700,298.7400,296.1400,296.28,296.2800,98720400,0.0000,1.0000
2019-10-10,291.1800,294.2100,291.0000,293.24,293.2400,55296300,0.0000,1.0000
2019-10-09,290.7500,292.3000,290.0600,291.27,291.2700,62359400,0.0000,1.0000
2019-10-08,291.0400,291.8500,288.4900,288.53,288.5300,95708100,0.0000,1.0000
2019-10-07,293.4700,295.2600,292.7700,293.08,293.0800,59610500,0.0000,1.0000
2019-10-04,291.1400,294.6300,291.0800,294.35,294.3500,65091200,0.0000,1.0000
2019-10-03,287.8100,290.4500,284.8200,290.42,290.4200,85278800,0.0000,1.0000
2019-10-02,291.5000,291.5100,286.6400,288.06,288.0600,122539500,0.0000,1.0000
2019-10-01,297.7400,298.4600,293.0000,293.24,293.2400,88242400,0.0000,1.0000
2019-09-30,295.9700,297.5500,295.9200,296.77,296.7700,51662400,0.0000,1.0000
2019-09-27,297.8300,297.9500,293.6900,295.4,295.4000,84746600,0.0000,1.0000
2019-09-26,297.6300,297.8600,295.4500,297.0,297.0000,56179700,0.0000,1.0000
2019-09-25,295.9600,298.1100,294.3300,297.62,297.6200,71854000,0.0000,1.0000
2019-09-24,299.4100,299.8400,294.8100,295.87,295.8700,94869400,0.0000,1.0000
2019-09-23,297.5500,299.0000,297.2700,298.21,298.2100,43476800,0.0000,1.0000
2019-09-20,300.3600,300.6700,297.4100,298.28,298.2800,89565000,1.3840,1.0000
2019-09-19,301.5300,302.6300,300.7100,301.08,299.6960,76560500,0.0000,1.0000
2019-09-18,300.4900,301.2200,298.2400,301.1,299.7159,73375800,0.0000,1.0000
2019-09-17,299.9400,301.0200,299.7500,300.92,299.5367,41475500,0.0000,1.0000
2019-09-16,299.8400,301.1400,299.4500,300.16,298.7802,58191200,0.0000,1.0000
2019-09-13,301.7800,302.1700,300.6800,301.09,299.7060,62104800,0.0000,1.0000
2019-09-12,301.2500,302.4600,300.4100,301.29,299.9051,72908700,0.0000,1.0000
2019-09-11,298.4700,300.3400,297.7500,300.25,298.8698,68821100,0.0000,1.0000
2019-09-10,297.3600,298.2000,295.9700,298.13,296.7596,57947100,0.0000,1.0000
2019-09-09,299.1400,299.2400,297.1600,298.2,296.8293,51260300,0.0000,1.0000
2019-09-06,298.1700,298.7600,297.4200,298.05,296.6799,49584300,0.0000,1.0000
2019-09-05,296.7900,298.8300,294.0000,297.82,296.4510,83258100,0.0000,1.0000
2019-09-04,293.1400,294.0600,292.3100,294.04,292.6884,46887300,0.0000,1.0000
2019-09-03,290.5700,291.5800,289.2700,290.74,289.4035,69101400,0.0000,1.0000
2019-08-30,294.2200,294.2400,291.4200,292.45,291.1057,62901200,0.0000,1.0000
2019-08-29,291.7200,293.1600,290.6100,292.58,291.2351,57899400,0.0000,1.0000
2019-08-28,286.1400,289.0700,285.2500,288.89,287.5620,59696700,0.0000,1.0000
2019-08-27,289.5400,289.9500,286.0300,286.87,285.5513,66668900,0.0000,1.0000
2019-08-26,287.2700,288.0000,285.5800,288.0,286.6761,72423800,0.0000,1.0000
2019-08-23,290.9200,292.7600,283.4700,284.85,283.5406,149161500,0.0000,1.0000
2019-08-22,293.2300,293.9300,290.4000,292.36,291.0161,51666400,0.0000,1.0000
2019-08-21,292.4800,292.8600,291.7200,292.45,291.1057,49524700,0.0000,1.0000
2019-08-20,291.7700,292.3600,289.9500,290.09,288.7565,51596400,0.0000,1.0000
2019-08-19,292.1900,293.0800,291.4400,292.33,290.9862,53571800,0.0000,1.0000
2019-08-16,286.4800,289.3300,284.7100,288.85,287.5222,83018300,0.0000,1.0000
2019-08-15,284.8800,285.6400,282.3900,284.65,283.3415,99556600,0.0000,1.0000
2019-08-14,288.0700,292.4640,283.7600,283.9,282.5950,135622100,0.0000,1.0000
2019-08-13,287.7400,294.1500,287.3600,292.55,291.2052,94299800,0.0000,1.0000
2019-08-12,289.9600,291.6163,287.0200,288.07,286.7458,65527600,0.0000,1.0000
2019-08-09,292.5800,293.2400,289.6500,291.62,290.2795,93730000,0.0000,1.0000
2019-08-08,289.6200,293.6200,289.0100,293.62,292.2703,87713900,0.0000,1.0000
2019-08-07,284.4000,288.8200,282.0400,287.97,286.6463,140572300,0.0000,1.0000
2019-08-06,285.9100,288.0400,284.2800,287.8,286.4771,120711700,0.0000,1.0000
2019-08-05,288.0900,288.2100,281.7200,283.82,282.5154,178745400,0.0000,1.0000
2019-08-02,293.8500,294.1200,290.9000,292.62,291.2749,116749700,0.0000,1.0000
2019-08-01,297.6000,300.8700,293.9600,294.84,293.4847,142646600,0.0000,1.0000
2019-07-31,300.9900,301.2000,295.2000,297.43,296.0628,104245200,0.0000,1.0000
2019-07-30,299.9100,301.1700,299.4984,300.72,299.3376,45849000,0.0000,1.0000
2019-07-29,301.8800,302.0100,300.8500,301.46,300.0742,38126500,0.0000,1.0000
2019-07-26,300.7600,302.2300,300.6200,302.01,300.6217,45084100,0.0000,1.0000
2019-07-25,300.9400,301.0000,299.1100,300.0,298.6210,55394100,0.0000,1.0000
2019-07-24,299.1900,301.4400,299.0900,301.44,300.0544,47213200,0.0000,1.0000
2019-07-23,299.1400,300.0300,298.2200,300.03,298.6508,44564500,0.0000,1.0000
2019-07-22,297.6100,298.5000,297.0400,297.9,296.5306,43638100,0.0000,1.0000
2019-07-19,300.0400,300.0700,296.9600,297.17,295.8040,58678600,0.0000,1.0000
2019-07-18,297.1900,299.2500,296.7000,298.83,297.4563,51392600,0.0000,1.0000
2019-07-17,299.7500,299.9300,297.7400,297.74,296.3713,36036300,0.0000,1.0000
2019-07-16,300.6500,300.8800,299.4400,299.71,298.4020,36650100,0.0000,1.0000
2019-07-15,301.1300,301.1323,300.1900,300.75,299.3675,33900000,0.0000,1.0000
2019-07-12,299.8500,300.7300,299.5100,300.65,299.2680,40326000,0.0000,1.0000
2019-07-11,299.3200,299.5800,298.2000,299.31,297.9341,50826100,0.0000,1.0000
2019-07-10,298.3700,299.6600,297.7800,298.61,297.2373,58448500,0.0000,1.0000
2019-07-09,295.5400,297.5200,295.4800,297.19,295.8239,41101300,0.0000,1.0000
2019-07-08,297.0100,298.2580,296.2200,296.82,295.4556,45841800,0.0000,1.0000
2019-07-05,297.4400,298.6400,296.0100,298.46,297.0880,51677300,0.0000,1.0000
2019-07-03,297.1721,298.8200,297.0200,298.8,297.4265,40898900,0.0000,1.0000
2019-07-02,295.6100,296.4900,294.6800,296.43,295.0674,61504500,0.0000,1.0000
2019-07-01,296.6800,296.9200,294.3300,295.66,294.3009,78705600,0.0000,1.0000
2019-06-28,292.5800,293.5500,292.0100,293.0,291.6531,59350900,0.0000,1.0000
2019-06-27,291.3100,292.0600,290.8900,291.5,290.1600,40355200,0.0000,1.0000
2019-06-26,291.7500,292.3100,290.3450,290.47,289.1348,51584900,0.0000,1.0000
2019-06-25,293.7183,293.7300,290.6400,290.76,289.4235,82028700,0.0000,1.0000
2019-06-24,294.2300,294.5800,293.4700,293.64,292.2902,47582700,0.0000,1.0000
2019-06-21,294.1300,295.5200,293.7600,294.0,292.6486,83309500,1.4320,1.0000
2019-06-20,296.0400,296.3090,293.1474,295.86,293.0746,116570000,0.0000,1.0000
2019-06-19,292.5500,293.6500,291.4700,293.06,290.3009,78674400,0.0000,1.0000
2019-06-18,291.3900,293.5700,290.9900,292.4,289.6472,85434800,0.0000,1.0000
2019-06-17,289.5136,290.2200,289.1800,289.37,286.6457,39205700,0.0000,1.0000
2019-06-14,289.2600,289.9300,288.4100,289.26,286.5367,52324700,0.0000,1.0000
2019-06-13,289.4000,289.9800,288.6200,289.58,286.8537,48945200,0.0000,1.0000
2019-06-12,288.6400,289.2600,287.8150,288.39,285.6749,47096300,0.0000,1.0000
2019-06-11,290.9900,291.4000,288.1800,288.9,286.1801,58641300,0.0000,1.0000
2019-06-10,289.3700,290.7924,288.8730,288.97,286.2495,60799100,0.0000,1.0000
2019-06-07,285.9300,288.8500,285.7400,287.65,284.9419,74272200,0.0000,1.0000
2019-06-06,283.2900,285.5500,282.5700,284.8,282.1187,69430400,0.0000,1.0000
2019-06-05,282.3300,282.9900,280.3200,282.96,280.2960,71169700,0.0000,1.0000
2019-06-04,277.1200,280.6800,276.5999,280.53,277.8889,77231900,0.0000,1.0000
2019-06-03,275.3134,276.5520,273.0900,274.57,271.9850,96428000,0.0000,1.0000
2019-05-31,276.2000,277.1200,275.2400,275.27,272.6784,86862800,0.0000,1.0000
2019-05-30,279.1100,280.0400,277.8050,279.03,276.4030,62523800,0.0000,1.0000
2019-05-29,278.9100,279.3600,276.7100,278.27,275.6502,104972900,0.0000,1.0000
2019-05-28,283.0900,284.1500,280.1300,280.15,277.5125,70029400,0.0000,1.0000
2019-05-24,283.7528,284.2000,282.0900,282.78,280.1177,55268100,0.0000,1.0000
2019-05-23,283.1600,283.2100,280.5700,282.14,279.4838,98733800,0.0000,1.0000
2019-05-22,285.4500,286.6900,285.0953,285.63,282.9409,49482500,0.0000,1.0000
2019-05-21,285.8300,286.9300,285.5500,286.51,283.8126,46847100,0.0000,1.0000
2019-05-20,284.0600,285.4300,283.1200,283.95,281.2767,62877600,0.0000,1.0000
2019-05-17,285.1400,288.5832,285.1210,285.84,283.1489,100353000,0.0000,1.0000
2019-05-16,285.8400,289.2100,285.7600,287.7,284.9914,76749600,0.0000,1.0000
2019-05-15,281.5900,285.7700,281.3600,285.06,282.3763,73956400,0.0000,1.0000
2019-05-14,281.9900,285.1074,281.8500,283.4,280.7319,77003200,0.0000,1.0000
2019-05-13,282.4200,283.4900,279.9300,280.86,278.2158,127290500,0.0000,1.0000
2019-05-10,285.6200,288.9400,282.3000,288.1,285.3876,112429300,0.0000,1.0000
2019-05-09,285.2300,287.3300,283.3000,286.66,283.9612,103471100,0.0000,1.0000
2019-05-08,287.5300,289.4300,286.8700,287.53,284.8230,91568300,0.0000,1.0000
2019-05-07,290.1500,290.8100,285.8100,287.93,285.2192,144729900,0.0000,1.0000
2019-05-06,289.2500,293.3100,288.8900,292.82,290.0632,107198100,0.0000,1.0000
2019-05-03,292.8200,294.3400,291.3000,294.03,291.2618,56543700,0.0000,1.0000
2019-05-02,291.6800,292.7000,289.5200,291.18,288.4386,65030200,0.0000,1.0000
2019-05-01,294.7514,294.9500,291.8000,291.81,289.0627,71671900,0.0000,1.0000
2019-04-30,293.4900,294.3400,291.9200,294.02,291.2519,81111700,0.0000,1.0000
2019-04-29,293.5100,294.4500,293.4100,293.87,291.1033,57197700,0.0000,1.0000
2019-04-26,292.1000,293.4900,291.2400,293.41,290.6477,50916400,0.0000,1.0000
2019-04-25,292.1200,292.7800,290.7300,292.05,289.3004,57770900,0.0000,1.0000
2019-04-24,292.7900,293.1600,292.0700,292.23,289.4788,50392900,0.0000,1.0000
2019-04-23,290.6800,293.1400,290.4200,292.88,290.1226,52246600,0.0000,1.0000
2019-04-22,289.1700,290.4350,289.0700,290.27,287.5372,40160100,0.0000,1.0000
2019-04-18,290.1000,290.3200,288.6409,290.02,287.2896,68708500,0.0000,1.0000
2019-04-17,291.4000,291.4250,288.9900,289.45,286.7249,58268300,0.0000,1.0000
2019-04-16,290.9500,291.0100,289.5000,290.16,287.4283,52153200,0.0000,1.0000
2019-04-15,290.2400,290.3500,289.0864,289.97,287.2401,49596700,0.0000,1.0000
2019-04-12,290.0000,290.4700,288.2610,290.16,287.4283,69727800,0.0000,1.0000
2019-04-11,288.8300,288.8400,287.5780,288.21,285.4966,55093100,0.0000,1.0000
2019-04-10,287.7700,288.3816,287.3100,288.29,285.5759,52601500,0.0000,1.0000
2019-04-09,287.7200,288.0800,286.7000,287.31,284.6051,66142300,0.0000,1.0000
2019-04-08,288.1000,288.9100,287.3700,288.79,286.0711,53566300,0.0000,1.0000
2019-04-05,287.9200,288.6300,287.6000,288.57,285.8532,58621700,0.0000,1.0000
2019-04-04,286.7800,287.4590,286.0100,287.18,284.4763,48997500,0.0000,1.0000
2019-04-03,287.3200,287.7600,285.7500,286.42,283.7234,68243200,0.0000,1.0000
2019-04-02,286.0400,286.2300,285.0900,285.97,283.2777,40070400,0.0000,1.0000
2019-04-01,284.7000,286.1600,284.4000,285.83,283.1390,77617900,0.0000,1.0000
2019-03-29,282.3900,282.8283,281.1400,282.48,279.8206,82186800,0.0000,1.0000
